Sl No.,year,State,zone,region,state_population_zone,registered_vehicles_zone,road_length_km,road_condition,avg_speed_index,overspeeding,bad_weather,fault_of_driver,driver_below_18,fault_in_vehicle,pct_two_wheelers,enforcement_index,health_index,urban_flag,traffic_density,time_to_hospital,monthality_index,danger_score,no_of_accidents,no_of_injured,no_of_killed
1801,2025,Andhra Pradesh,Andhra Pradesh_Zone1,south,15489305,275480,7517,proper road,54.99,0,0,0,0,1,0.29,0.636,0.544,0,22.966,65.66,0.833,0.9012,67178,136056,1250
1802,2025,Andhra Pradesh,Andhra Pradesh_Zone2,south,15783467,136964,13981,dirt road,60.72,1,0,0,0,0,0.185,0.699,0.588,1,9.072,49.44,0.917,1.6388,52937,121838,3890
1803,2025,Andhra Pradesh,Andhra Pradesh_Zone3,south,15700704,212531,9083,proper road,92.72,1,0,0,1,0,0.642,0.568,0.594,0,7.452,58.5,0.0,1.4003,96659,250519,7007
1804,2025,Andhra Pradesh,Andhra Pradesh_Zone4,south,9357952,122744,5973,proper road,75.95,1,0,1,0,0,0.611,0.636,0.694,1,8.758,36.69,0.083,1.8959,118783,291788,8216
1805,2025,Andhra Pradesh,Andhra Pradesh_Zone5,south,10675547,224532,15147,proper road,42.97,0,0,0,0,0,0.688,0.683,0.63,0,17.441,53.33,0.167,0.4176,50843,82823,896
1806,2025,Arunachal Pradesh,Arunachal Pradesh_Zone1,north_east,1837784,282140,6548,damaged road,65.07,0,0,0,0,1,0.209,0.448,0.488,0,141.005,73.72,0.833,1.9343,1268039,3279863,96162
1807,2025,Arunachal Pradesh,Arunachal Pradesh_Zone2,north_east,2603315,257307,5466,proper road,92.46,1,0,0,0,1,0.286,0.51,0.577,1,55.231,50.8,0.917,1.8415,567389,1577608,41497
1808,2025,Arunachal Pradesh,Arunachal Pradesh_Zone3,north_east,2536021,281684,8652,damaged road,90.41,1,0,0,0,0,0.287,0.518,0.49,0,81.466,73.41,0.0,2.3977,776706,2425828,102147
1809,2025,Arunachal Pradesh,Arunachal Pradesh_Zone4,north_east,3405656,200298,7383,damaged road,50.32,0,0,0,0,1,0.292,0.431,0.509,1,66.846,58.89,0.083,1.9282,358829,870986,26441
1810,2025,Arunachal Pradesh,Arunachal Pradesh_Zone5,north_east,3623934,160181,4947,damaged road,93.78,1,0,0,0,0,0.36,0.512,0.541,0,28.781,66.07,0.167,2.3654,318041,967911,41219
1811,2025,Assam,Assam_Zone1,north_east,18502292,73966,8587,proper road,86.78,1,0,0,0,0,0.53,0.894,0.678,0,5.591,46.41,0.833,1.1786,19511,45166,1352
1812,2025,Assam,Assam_Zone2,north_east,20312718,54428,5653,proper road,36.23,0,0,0,0,0,0.437,0.808,0.489,1,5.0,61.38,0.917,0.4539,7447,12241,141
1813,2025,Assam,Assam_Zone3,north_east,21061298,48152,11265,proper road,91.32,1,0,0,0,0,0.231,0.823,0.507,0,5.0,71.0,0.0,1.3339,12674,33122,953
1814,2025,Assam,Assam_Zone4,north_east,14492055,80259,11553,dirt road,57.67,0,0,0,0,0,0.201,0.876,0.502,1,5.0,59.72,0.083,0.7105,19334,38969,356
1815,2025,Assam,Assam_Zone5,north_east,21737718,58068,11191,proper road,34.31,0,0,0,0,0,0.332,0.943,0.668,0,5.0,47.84,0.167,0.2612,5891,8443,104
1816,2025,Bihar,Bihar_Zone1,east,8326680,127179,6230,dirt road,67.23,1,0,0,0,0,0.161,0.7,0.606,0,9.087,56.8,0.833,1.626,87117,206143,6138
1817,2025,Bihar,Bihar_Zone2,east,8139993,86920,5281,proper road,81.76,1,0,0,0,0,0.322,0.656,0.586,1,14.044,49.69,0.917,1.3619,54026,132844,3926
1818,2025,Bihar,Bihar_Zone3,east,6951340,90816,5771,proper road,32.56,0,0,0,1,0,0.119,0.661,0.568,0,19.382,62.23,0.0,0.4721,34356,53294,624
1819,2025,Bihar,Bihar_Zone4,east,14248045,77344,5480,proper road,79.48,1,0,0,0,0,0.174,0.655,0.558,1,6.367,53.03,0.083,1.3817,28885,70647,2203
1820,2025,Bihar,Bihar_Zone5,east,7451207,167431,5939,proper road,41.73,0,0,0,0,0,0.07,0.751,0.561,0,12.999,63.29,0.167,0.4321,55771,93156,1024
1821,2025,Chhattisgarh,Chhattisgarh_Zone1,central,12750465,232351,11704,dirt road,76.41,1,0,1,0,0,0.345,0.99,0.645,0,25.595,51.19,0.833,2.0538,125389,321066,8865
