Sl No.,year,State,zone,region,state_population_zone,registered_vehicles_zone,road_length_km,road_condition,avg_speed_index,overspeeding,bad_weather,fault_of_driver,driver_below_18,fault_in_vehicle,pct_two_wheelers,enforcement_index,health_index,urban_flag,traffic_density,time_to_hospital,monthality_index,danger_score,no_of_accidents,no_of_injured,no_of_killed
181,2016,Andhra Pradesh,Andhra Pradesh_Zone1,south,14980259,205568,5337,proper road,46.45,0,1,1,0,0,0.447,0.665,0.644,0,20.267,51.28,0.083,1.8168,55302,118253,2870
182,2016,Andhra Pradesh,Andhra Pradesh_Zone2,south,15695405,308826,9672,proper road,58.24,0,1,0,0,0,0.442,0.615,0.626,1,13.758,44.9,0.167,1.2545,59648,125954,3095
183,2016,Andhra Pradesh,Andhra Pradesh_Zone3,south,10449325,135093,9930,dirt road,69.44,1,0,0,0,0,0.21,0.663,0.615,0,9.053,55.5,0.25,1.6385,48924,118278,3504
184,2016,Andhra Pradesh,Andhra Pradesh_Zone4,south,15585765,228671,5886,proper road,89.85,0,0,1,0,0,0.304,0.655,0.653,1,18.887,41.6,0.333,1.0151,39594,91592,694
185,2016,Andhra Pradesh,Andhra Pradesh_Zone5,south,12335240,212582,11901,damaged road,34.16,0,0,0,0,0,0.237,0.551,0.612,0,9.584,55.94,0.417,1.3963,55507,106101,3928
186,2016,Arunachal Pradesh,Arunachal Pradesh_Zone1,north_east,1866532,249508,6214,dirt road,46.92,0,0,0,0,0,0.221,0.5,0.54,0,175.571,66.18,0.083,0.872,394239,756406,7132
187,2016,Arunachal Pradesh,Arunachal Pradesh_Zone2,north_east,2181981,203895,7074,proper road,53.0,0,0,0,0,0,0.136,0.51,0.512,1,79.805,58.5,0.167,0.5861,155243,296813,2914
188,2016,Arunachal Pradesh,Arunachal Pradesh_Zone3,north_east,3548751,128474,6098,dirt road,62.7,1,1,1,0,1,0.317,0.481,0.556,0,33.992,63.88,0.25,3.57,624008,1959915,67129
189,2016,Arunachal Pradesh,Arunachal Pradesh_Zone4,north_east,3150806,151704,4218,proper road,30.13,0,0,0,0,0,0.3,0.547,0.477,1,29.137,62.71,0.333,0.5922,82902,137507,1539
190,2016,Arunachal Pradesh,Arunachal Pradesh_Zone5,north_east,2962718,154585,3810,proper road,45.22,0,0,0,0,1,0.214,0.554,0.543,0,62.703,65.75,0.417,0.9429,120036,227162,2257
191,2016,Assam,Assam_Zone1,north_east,20092231,75329,4787,dirt road,37.62,0,0,1,0,1,0.176,0.81,0.602,0,5.0,57.38,0.083,1.6741,15264,30472,273
192,2016,Assam,Assam_Zone2,north_east,11172082,92640,4426,proper road,66.44,0,0,0,0,0,0.34,0.864,0.656,1,11.078,41.34,0.167,0.3091,11913,21617,197
193,2016,Assam,Assam_Zone3,north_east,22421398,69927,5316,damaged road,87.37,1,0,1,0,1,0.226,0.815,0.547,0,5.0,65.17,0.25,3.2093,41844,137376,5487
194,2016,Assam,Assam_Zone4,north_east,18788189,104300,4407,dirt road,34.82,0,0,0,1,0,0.454,0.756,0.587,1,5.0,49.54,0.333,0.7109,12123,19902,217
195,2016,Assam,Assam_Zone5,north_east,17660653,87982,8998,dirt road,30.54,0,0,0,0,0,0.171,0.956,0.586,0,5.223,59.63,0.417,0.6121,10223,16382,185
196,2016,Bihar,Bihar_Zone1,east,12545631,179625,4372,proper road,73.63,1,0,0,0,0,0.359,0.735,0.588,0,20.161,59.36,0.083,1.3211,45807,108935,3341
197,2016,Bihar,Bihar_Zone2,east,11100884,157782,2819,proper road,76.57,1,0,0,0,0,0.342,0.67,0.538,1,20.008,55.47,0.167,1.3888,46239,112498,3422
198,2016,Bihar,Bihar_Zone3,east,6908541,165945,3791,dirt road,72.87,1,1,0,0,0,0.111,0.729,0.593,0,19.802,58.58,0.25,2.4205,307423,839735,32336
199,2016,Bihar,Bihar_Zone4,east,11238697,110698,4990,dirt road,80.57,0,0,1,0,0,0.438,0.792,0.581,1,5.308,50.28,0.333,1.2974,30995,74191,572
200,2016,Bihar,Bihar_Zone5,east,13766758,190522,3544,damaged road,94.75,1,0,0,0,0,0.256,0.758,0.597,0,18.793,58.07,0.417,2.2034,65700,190250,8411
201,2016,Chhattisgarh,Chhattisgarh_Zone1,central,18380727,159993,14296,proper road,30.93,0,0,0,0,0,0.099,0.961,0.623,0,9.256,54.26,0.083,0.283,12190,17607,216
202,2016,Chhattisgarh,Chhattisgarh_Zone2,central,18670586,206998,18462,dirt road,58.75,0,0,0,0,0,0.076,0.948,0.474,1,7.889,63.12,0.167,0.694,23611,48642,459
203,2016,Chhattisgarh,Chhattisgarh_Zone3,central,11218915,184880,14549,dirt road,54.25,0,0,0,0,0,0.451,0.866,0.661,0,12.775,48.86,0.25,0.6044,31744,56654,534
204,2016,Chhattisgarh,Chhattisgarh_Zone4,central,18843274,136606,14925,proper road,73.4,1,0,1,0,1,0.17,0.99,0.651,1,9.701,41.85,0.333,2.1491,34585,91614,2336
205,2016,Chhattisgarh,Chhattisgarh_Zone5,central,18470475,153724,17602,dirt road,68.53,1,0,0,0,0,0.263,0.923,0.532,0,11.343,67.37,0.417,1.5662,31182,76234,2324
206,2016,Goa,Goa_Zone1,west,8613119,169924,8332,damaged road,31.95,0,0,0,0,0,0.209,0.444,0.768,0,29.103,33.38,0.083,1.3402,62433,106257,3943
207,2016,Goa,Goa_Zone2,west,5563587,158969,6199,proper road,36.56,0,0,1,0,0,0.393,0.447,0.708,1,20.926,35.06,0.167,1.0811,74633,127331,1229
208,2016,Goa,Goa_Zone3,west,6400486,244193,3598,proper road,82.59,1,1,0,0,0,0.259,0.468,0.729,0,30.609,39.01,0.25,2.1554,442531,1136874,43820
209,2016,Goa,Goa_Zone4,west,7270173,142621,7190,proper road,61.71,0,0,0,0,0,0.249,0.45,0.773,1,18.799,27.24,0.333,0.4337,30808,52264,508
210,2016,Goa,Goa_Zone5,west,8206537,263946,8714,proper road,64.97,0,0,0,0,0,0.148,0.467,0.882,0,31.618,16.96,0.417,0.3487,44854,71817,659
211,2016,Gujarat,Gujarat_Zone1,west,21387769,20676,21380,proper road,42.77,0,0,1,0,0,0.356,0.607,0.493,0,5.0,72.99,0.083,1.1512,3193,6317,62
212,2016,Gujarat,Gujarat_Zone2,west,28001750,14541,18136,proper road,48.11,0,0,0,0,0,0.196,0.615,0.373,1,5.0,75.21,0.167,0.6314,1202,2419,24
213,2016,Gujarat,Gujarat_Zone3,west,31640725,27384,11433,dirt road,44.33,0,1,0,0,0,0.152,0.697,0.392,0,5.0,87.54,0.25,1.6771,3859,9109,227
214,2016,Gujarat,Gujarat_Zone4,west,21843724,13610,16700,damaged road,32.6,0,1,0,0,0,0.16,0.558,0.233,1,5.0,92.07,0.333,2.458,3793,10256,515
215,2016,Gujarat,Gujarat_Zone5,west,34704125,26865,15206,dirt road,41.1,0,1,1,0,1,0.099,0.614,0.406,0,5.0,85.52,0.417,2.7085,5081,13828,304
216,2016,Haryana,Haryana_Zone1,north,9190528,158954,17883,dirt road,40.44,0,0,1,0,0,0.267,0.822,0.71,0,19.167,41.79,0.083,1.1924,50072,89253,853
217,2016,Haryana,Haryana_Zone2,north,13372772,186516,11922,dirt road,45.4,0,0,0,0,0,0.132,0.856,0.696,1,17.785,36.49,0.167,0.585,26631,43386,436
218,2016,Haryana,Haryana_Zone3,north,9134235,215613,22261,damaged road,47.26,0,0,0,0,0,0.355,0.806,0.747,0,18.448,36.39,0.25,1.1741,67756,124591,4303
219,2016,Haryana,Haryana_Zone4,north,9706050,143991,14506,proper road,84.25,1,0,0,0,0,0.107,0.792,0.709,1,9.649,34.87,0.333,1.2073,43542,98721,2926
220,2016,Haryana,Haryana_Zone5,north,14654022,116907,18508,dirt road,78.83,1,1,1,0,1,0.19,0.803,0.795,0,7.199,29.54,0.417,3.2423,140229,394817,12931
221,2016,Himachal Pradesh,Himachal Pradesh_Zone1,north,13008554,25761,16389,proper road,84.01,1,0,0,0,0,0.341,0.766,0.225,0,5.0,111.56,0.083,1.5595,7874,23640,685
222,2016,Himachal Pradesh,Himachal Pradesh_Zone2,north,11984770,37649,27294,proper road,77.65,0,0,0,0,0,0.293,0.717,0.357,1,5.0,77.12,0.167,0.5916,6443,15321,132
223,2016,Himachal Pradesh,Himachal Pradesh_Zone3,north,16789264,23597,28815,proper road,34.37,0,1,1,0,0,0.105,0.784,0.355,0,5.0,92.81,0.25,1.9592,6730,16126,417
224,2016,Himachal Pradesh,Himachal Pradesh_Zone4,north,15178592,21352,10758,dirt road,59.77,0,1,0,0,0,0.465,0.734,0.312,1,5.0,82.59,0.333,1.7147,6001,15988,386
225,2016,Himachal Pradesh,Himachal Pradesh_Zone5,north,14911130,26563,11379,proper road,61.34,1,0,1,0,0,0.21,0.615,0.315,0,5.0,98.59,0.417,2.1718,9381,27213,781
226,2016,Jharkhand,Jharkhand_Zone1,east,9159180,130196,16925,proper road,32.12,0,0,0,0,0,0.05,0.553,0.727,0,17.266,39.34,0.083,0.4148,22386,31361,370
227,2016,Jharkhand,Jharkhand_Zone2,east,17803746,107109,8246,proper road,65.79,1,1,1,0,1,0.106,0.571,0.618,1,5.0,45.88,0.167,3.1819,105164,303766,10726
228,2016,Jharkhand,Jharkhand_Zone3,east,15034207,106802,8150,proper road,41.82,0,1,0,0,1,0.312,0.474,0.719,0,7.121,40.42,0.25,1.6594,27941,54727,1424
