Sl No.,year,State,zone,region,state_population_zone,registered_vehicles_zone,road_length_km,road_condition,avg_speed_index,overspeeding,bad_weather,fault_of_driver,driver_below_18,fault_in_vehicle,pct_two_wheelers,enforcement_index,health_index,urban_flag,traffic_density,time_to_hospital,monthality_index,danger_score,no_of_accidents,no_of_injured,no_of_killed
901,2020,Andhra Pradesh,Andhra Pradesh_Zone1,south,9622526,321404,10232,proper road,90.92,0,1,0,0,0,0.418,0.735,0.562,0,40.275,63.13,0.417,1.2395,113654,285012,6130
902,2020,Andhra Pradesh,Andhra Pradesh_Zone2,south,7891557,269122,13812,proper road,66.67,0,1,0,0,0,0.566,0.673,0.624,1,30.052,45.16,0.5,1.2269,115488,256116,6065
903,2020,Andhra Pradesh,Andhra Pradesh_Zone3,south,11198652,303238,5687,proper road,35.36,0,0,1,0,0,0.445,0.639,0.638,0,31.932,52.15,0.583,1.0338,81173,141099,1413
904,2020,Andhra Pradesh,Andhra Pradesh_Zone4,south,14729039,294041,12636,dirt road,43.03,0,0,0,0,0,0.25,0.648,0.639,1,14.601,43.33,0.667,0.7285,49073,82988,845
905,2020,Andhra Pradesh,Andhra Pradesh_Zone5,south,16326012,309993,9604,proper road,82.14,1,0,1,0,0,0.367,0.715,0.587,0,27.194,59.47,0.75,1.9315,94043,253838,6635
906,2020,Arunachal Pradesh,Arunachal Pradesh_Zone1,north_east,2257696,167830,5533,dirt road,66.19,1,0,0,0,0,0.148,0.444,0.455,0,73.027,78.55,0.417,1.8596,316246,824583,24020
907,2020,Arunachal Pradesh,Arunachal Pradesh_Zone2,north_east,3184500,280705,7276,dirt road,34.48,0,0,0,0,0,0.261,0.385,0.614,1,83.301,46.38,0.5,0.8779,222873,379638,3842
908,2020,Arunachal Pradesh,Arunachal Pradesh_Zone3,north_east,2939584,193387,5743,proper road,50.24,0,1,0,0,0,0.054,0.46,0.538,0,45.651,66.5,0.583,1.3933,233316,503195,12615
909,2020,Arunachal Pradesh,Arunachal Pradesh_Zone4,north_east,3420351,177174,5422,damaged road,71.5,1,0,0,0,0,0.169,0.497,0.48,1,52.229,62.34,0.667,2.4152,285945,828636,37980
910,2020,Arunachal Pradesh,Arunachal Pradesh_Zone5,north_east,2829064,284093,4666,dirt road,43.75,0,0,0,0,0,0.363,0.525,0.455,0,100.242,78.52,0.75,0.9192,257867,502802,4829
911,2020,Assam,Assam_Zone1,north_east,22686045,67021,4095,proper road,85.66,1,0,1,0,0,0.116,0.921,0.607,0,5.0,56.65,0.417,1.8148,15308,40322,1036
912,2020,Assam,Assam_Zone2,north_east,13615698,59332,9942,damaged road,77.09,0,0,1,0,0,0.133,0.965,0.504,1,5.0,59.49,0.5,1.8645,42728,116961,3241
913,2020,Assam,Assam_Zone3,north_east,21232648,74992,7892,proper road,72.63,1,0,0,0,0,0.208,0.829,0.606,0,5.0,56.8,0.583,1.2618,13524,30477,995
914,2020,Assam,Assam_Zone4,north_east,15271740,43137,9679,dirt road,73.6,1,0,0,1,0,0.066,0.753,0.545,1,5.0,54.64,0.667,1.6424,13455,33762,992
915,2020,Assam,Assam_Zone5,north_east,14099794,92991,5551,proper road,45.16,0,0,0,0,0,0.459,0.827,0.562,0,9.09,63.13,0.75,0.3933,12534,21028,227
916,2020,Bihar,Bihar_Zone1,east,11073904,136137,4982,dirt road,78.83,1,0,1,0,1,0.177,0.703,0.523,0,8.702,68.65,0.417,2.682,80286,242145,5998
917,2020,Bihar,Bihar_Zone2,east,11363553,167508,4983,proper road,48.92,0,0,1,0,0,0.176,0.753,0.574,1,16.127,51.17,0.5,1.0218,45697,89032,841
918,2020,Bihar,Bihar_Zone3,east,8020306,177181,5093,dirt road,65.92,0,1,1,0,0,0.412,0.701,0.605,0,23.112,56.85,0.583,2.126,113934,284479,6119
919,2020,Bihar,Bihar_Zone4,east,12372944,136124,3538,dirt road,86.95,0,0,0,0,0,0.313,0.673,0.538,1,11.72,55.43,0.667,0.7869,29215,68556,558
920,2020,Bihar,Bihar_Zone5,east,9851156,191703,3386,proper road,91.05,0,0,1,0,0,0.263,0.684,0.606,0,23.916,56.72,0.75,1.0339,59578,141566,1026
921,2020,Chhattisgarh,Chhattisgarh_Zone1,central,12004835,191038,10882,dirt road,83.14,0,0,0,0,0,0.119,0.912,0.692,0,11.103,44.29,0.417,0.5594,34383,69867,589
922,2020,Chhattisgarh,Chhattisgarh_Zone2,central,18666487,265519,10163,damaged road,30.62,0,0,0,0,0,0.279,0.945,0.588,1,9.633,49.41,0.5,1.2158,50247,92746,3590
923,2020,Chhattisgarh,Chhattisgarh_Zone3,central,17741002,254570,14955,dirt road,62.24,1,0,1,0,0,0.194,0.882,0.58,0,13.181,60.44,0.583,2.1529,77280,196632,5515
924,2020,Chhattisgarh,Chhattisgarh_Zone4,central,18150351,118859,17873,proper road,85.56,1,0,0,0,0,0.504,0.99,0.59,1,5.849,49.19,0.667,1.1919,23792,57352,1710
925,2020,Chhattisgarh,Chhattisgarh_Zone5,central,15545061,150230,15494,proper road,57.83,0,0,0,0,0,0.05,0.942,0.691,0,11.026,44.54,0.75,0.2457,14808,24532,247
926,2020,Goa,Goa_Zone1,west,9125168,175015,5655,damaged road,84.4,1,0,1,0,0,0.066,0.454,0.744,0,20.17,36.93,0.417,2.8525,248235,688435,28803
927,2020,Goa,Goa_Zone2,west,5793523,186139,3817,proper road,88.35,0,0,1,0,0,0.306,0.414,0.83,1,28.653,20.43,0.5,1.0122,93696,199864,1414
928,2020,Goa,Goa_Zone3,west,6320740,298884,8307,proper road,42.99,0,1,0,0,0,0.114,0.445,0.779,0,36.708,31.83,0.583,1.2323,155094,269225,7715
929,2020,Goa,Goa_Zone4,west,6861647,136467,4100,dirt road,87.58,0,0,0,0,0,0.203,0.428,0.866,1,23.458,16.08,0.667,0.68,46843,90573,705
930,2020,Goa,Goa_Zone5,west,4827427,167392,5103,dirt road,46.77,0,0,0,0,0,0.526,0.523,0.795,0,36.94,29.46,0.75,0.6818,78603,125533,1258
931,2020,Gujarat,Gujarat_Zone1,west,33551022,29266,18230,damaged road,51.0,0,0,0,0,1,0.188,0.643,0.385,0,5.0,88.51,0.417,1.9088,5011,12668,398
932,2020,Gujarat,Gujarat_Zone2,west,31755485,20764,8874,proper road,35.5,0,0,0,1,0,0.225,0.698,0.283,1,5.0,86.05,0.5,0.6532,1777,3419,39
933,2020,Gujarat,Gujarat_Zone3,west,23988524,29576,11311,proper road,34.77,0,1,0,0,0,0.05,0.702,0.3,0,5.0,100.87,0.583,1.4393,5600,12528,354
934,2020,Gujarat,Gujarat_Zone4,west,31825241,23305,13156,proper road,74.22,0,1,1,0,0,0.255,0.633,0.321,1,5.0,81.45,0.667,2.0585,4459,13291,274
935,2020,Gujarat,Gujarat_Zone5,west,33384186,26595,21842,proper road,84.36,0,1,1,0,0,0.086,0.687,0.374,0,5.0,90.1,0.75,1.9946,4717,14075,287
936,2020,Haryana,Haryana_Zone1,north,12638544,133681,10276,proper road,87.74,1,0,1,0,0,0.272,0.846,0.658,0,14.57,49.27,0.417,1.8166,50702,129473,3454
937,2020,Haryana,Haryana_Zone2,north,15682311,102471,14475,proper road,45.44,0,0,0,0,0,0.115,0.833,0.643,1,5.355,42.79,0.5,0.3329,11495,18265,199
938,2020,Haryana,Haryana_Zone3,north,15078506,91070,20119,dirt road,67.3,1,0,0,0,0,0.583,0.92,0.547,0,7.361,65.2,0.583,1.5568,26560,64075,1983
939,2020,Haryana,Haryana_Zone4,north,16986617,200994,18434,dirt road,41.55,0,0,0,0,0,0.402,0.869,0.821,1,9.837,21.47,0.667,0.4905,24104,35687,361
940,2020,Haryana,Haryana_Zone5,north,20078862,161787,27406,proper road,67.22,1,1,0,0,0,0.406,0.862,0.681,0,5.0,45.93,0.75,1.9922,108988,255917,11176
941,2020,Himachal Pradesh,Himachal Pradesh_Zone1,north,10990080,30702,17349,damaged road,43.51,0,0,0,0,0,0.274,0.679,0.371,0,5.0,90.63,0.417,1.5008,12401,28276,1007
942,2020,Himachal Pradesh,Himachal Pradesh_Zone2,north,20090704,44184,14664,damaged road,59.89,0,0,0,0,0,0.45,0.732,0.21,1,5.0,94.79,0.5,1.5867,10455,28136,947
