Sl No.,year,State,zone,region,state_population_zone,registered_vehicles_zone,road_length_km,road_condition,avg_speed_index,overspeeding,bad_weather,fault_of_driver,driver_below_18,fault_in_vehicle,pct_two_wheelers,enforcement_index,health_index,urban_flag,traffic_density,time_to_hospital,monthality_index,danger_score,no_of_accidents,no_of_injured,no_of_killed
361,2017,Andhra Pradesh,Andhra Pradesh_Zone1,south,8714460,162305,14950,damaged road,54.46,0,0,1,0,0,0.282,0.657,0.662,0,10.28,48.65,0.167,1.9082,149666,338058,10572
362,2017,Andhra Pradesh,Andhra Pradesh_Zone2,south,10999333,153187,8125,proper road,79.16,1,0,0,0,0,0.232,0.674,0.602,1,15.839,47.82,0.25,1.3418,46170,112289,3235
363,2017,Andhra Pradesh,Andhra Pradesh_Zone3,south,17031463,282035,6918,proper road,61.68,0,0,0,0,0,0.291,0.671,0.662,0,10.532,48.64,0.333,0.401,26691,47462,460
364,2017,Andhra Pradesh,Andhra Pradesh_Zone4,south,11010944,173112,9033,proper road,61.78,1,0,0,0,0,0.366,0.647,0.579,1,8.717,50.56,0.417,1.3713,52749,119549,4006
365,2017,Andhra Pradesh,Andhra Pradesh_Zone5,south,9645418,162654,8479,dirt road,43.66,0,0,0,1,0,0.436,0.671,0.67,0,21.629,47.57,0.5,0.6959,36245,61214,623
366,2017,Arunachal Pradesh,Arunachal Pradesh_Zone1,north_east,1976636,154235,9169,proper road,34.71,0,0,0,1,0,0.078,0.419,0.447,0,70.367,79.65,0.167,0.6778,145373,256137,2817
367,2017,Arunachal Pradesh,Arunachal Pradesh_Zone2,north_east,2401831,251044,8902,proper road,53.83,0,0,1,0,0,0.102,0.438,0.49,1,63.294,61.18,0.25,1.238,283792,616436,5426
368,2017,Arunachal Pradesh,Arunachal Pradesh_Zone3,north_east,3787939,252478,6081,dirt road,89.24,0,0,0,0,0,0.081,0.528,0.598,0,91.079,57.95,0.333,0.8179,143601,330029,2607
369,2017,Arunachal Pradesh,Arunachal Pradesh_Zone4,north_east,2960456,140218,8863,dirt road,35.6,0,0,0,0,0,0.401,0.41,0.586,1,53.01,49.7,0.417,0.8851,105955,186482,1922
370,2017,Arunachal Pradesh,Arunachal Pradesh_Zone5,north_east,2106712,131750,9232,proper road,93.36,1,0,0,0,0,0.158,0.509,0.436,0,53.133,81.22,0.5,1.5402,210710,610979,16096
371,2017,Assam,Assam_Zone1,north_east,16210959,96027,5405,damaged road,66.57,1,0,0,0,0,0.446,0.883,0.538,0,8.687,66.49,0.167,2.1815,30390,79908,3921
372,2017,Assam,Assam_Zone2,north_east,16572659,103212,6376,damaged road,87.28,1,0,1,0,0,0.168,0.835,0.637,1,6.136,43.54,0.25,2.7363,72019,216235,8417
373,2017,Assam,Assam_Zone3,north_east,16251307,74893,10181,proper road,64.08,1,0,0,0,0,0.176,0.802,0.584,0,5.289,59.92,0.333,1.2903,16015,35704,1145
374,2017,Assam,Assam_Zone4,north_east,18319094,76210,6685,proper road,42.57,0,0,0,0,0,0.182,0.886,0.737,1,5.0,31.59,0.417,0.2415,5790,8453,94
375,2017,Assam,Assam_Zone5,north_east,15072310,56369,8908,dirt road,83.59,1,0,0,0,0,0.086,0.834,0.646,0,5.0,50.99,0.5,1.531,14780,36184,1025
376,2017,Bihar,Bihar_Zone1,east,11020882,194703,6306,proper road,59.78,0,0,1,0,0,0.226,0.711,0.464,0,16.878,77.18,0.167,1.1198,49974,113366,964
377,2017,Bihar,Bihar_Zone2,east,13201054,161830,3600,damaged road,89.29,0,0,0,0,0,0.081,0.765,0.691,1,12.96,37.07,0.25,1.2337,38323,89503,2631
378,2017,Bihar,Bihar_Zone3,east,10985146,88102,3924,dirt road,75.07,1,0,0,0,0,0.05,0.756,0.581,0,5.642,60.33,0.333,1.615,31377,78455,2268
379,2017,Bihar,Bihar_Zone4,east,14124068,82934,3660,damaged road,55.74,0,0,0,0,0,0.094,0.658,0.562,1,8.739,52.57,0.417,1.3779,21134,45966,1540
380,2017,Bihar,Bihar_Zone5,east,8456564,132647,2821,damaged road,79.85,1,0,0,1,0,0.502,0.722,0.622,0,19.991,54.4,0.5,2.2034,77387,213516,9193
381,2017,Chhattisgarh,Chhattisgarh_Zone1,central,10767684,231869,6594,dirt road,65.05,0,0,1,0,0,0.339,0.929,0.491,0,30.288,73.33,0.167,1.2921,67558,159359,1253
382,2017,Chhattisgarh,Chhattisgarh_Zone2,central,16139783,112369,10493,proper road,74.6,0,0,0,1,0,0.136,0.981,0.63,1,7.989,44.39,0.25,0.2682,9859,18978,173
383,2017,Chhattisgarh,Chhattisgarh_Zone3,central,12245704,209022,12168,dirt road,30.65,0,0,0,0,0,0.087,0.929,0.7,0,18.839,43.14,0.333,0.545,31406,45607,508
384,2017,Chhattisgarh,Chhattisgarh_Zone4,central,13514121,274494,7810,proper road,31.68,0,0,0,0,0,0.404,0.916,0.599,1,11.877,48.1,0.417,0.3224,29369,43529,520
385,2017,Chhattisgarh,Chhattisgarh_Zone5,central,21406538,253371,16089,dirt road,45.14,0,0,0,0,0,0.296,0.902,0.566,0,6.707,62.56,0.5,0.6531,24878,44156,462
386,2017,Goa,Goa_Zone1,west,9216440,221312,8966,damaged road,30.59,0,0,0,0,0,0.237,0.584,0.729,0,16.531,39.04,0.167,1.2979,75563,126636,4977
387,2017,Goa,Goa_Zone2,west,7254392,142690,6026,proper road,63.92,0,0,1,0,0,0.189,0.54,0.734,1,13.448,31.92,0.25,1.0161,51890,100251,854
388,2017,Goa,Goa_Zone3,west,6405548,248605,6781,proper road,57.32,0,0,1,0,0,0.219,0.481,0.753,0,55.104,35.54,0.333,1.0323,100211,184749,1652
389,2017,Goa,Goa_Zone4,west,9797182,256761,3752,dirt road,56.67,0,0,0,0,0,0.282,0.542,0.842,1,32.73,18.99,0.417,0.6398,51593,84029,779
390,2017,Goa,Goa_Zone5,west,5802190,291491,6918,dirt road,68.77,0,0,1,0,0,0.45,0.475,0.715,0,72.158,41.0,0.5,1.3616,158133,338713,2580
391,2017,Gujarat,Gujarat_Zone1,west,15597809,13768,20805,proper road,54.13,0,0,1,0,0,0.409,0.687,0.536,0,5.0,66.8,0.167,1.0813,2860,5986,52
392,2017,Gujarat,Gujarat_Zone2,west,28620853,22675,20314,proper road,39.0,0,0,0,0,0,0.147,0.679,0.41,1,5.0,70.77,0.25,0.5733,1792,3243,36
393,2017,Gujarat,Gujarat_Zone3,west,32625118,17021,15421,damaged road,88.26,1,0,1,0,0,0.477,0.711,0.332,0,5.0,96.19,0.333,3.0122,7367,26170,1060
394,2017,Gujarat,Gujarat_Zone4,west,20751902,22997,15951,proper road,78.52,0,0,0,0,0,0.24,0.725,0.327,1,5.0,80.74,0.417,0.6087,2515,6140,53
395,2017,Gujarat,Gujarat_Zone5,west,25341995,24628,12417,damaged road,50.11,0,0,1,0,0,0.05,0.566,0.322,0,5.0,97.7,0.5,2.1919,10390,28576,889
396,2017,Haryana,Haryana_Zone1,north,17456749,174239,16307,dirt road,49.16,0,0,0,0,0,0.403,0.916,0.68,0,14.271,46.1,0.167,0.566,19800,33637,341
397,2017,Haryana,Haryana_Zone2,north,18426972,201188,17443,proper road,58.46,0,0,0,0,0,0.08,0.813,0.674,1,11.966,39.16,0.25,0.3221,16412,27957,276
398,2017,Haryana,Haryana_Zone3,north,9832057,215620,24918,proper road,44.53,0,0,1,0,0,0.175,0.904,0.703,0,21.426,42.82,0.333,0.8561,51310,87772,826
399,2017,Haryana,Haryana_Zone4,north,9794080,83046,18100,dirt road,67.2,0,0,1,0,0,0.42,0.801,0.659,1,10.961,40.89,0.417,1.2379,26969,58375,461
400,2017,Haryana,Haryana_Zone5,north,12625287,98430,26115,dirt road,40.71,0,0,0,0,0,0.069,0.836,0.558,0,7.82,63.66,0.5,0.6913,17347,30127,320
401,2017,Himachal Pradesh,Himachal Pradesh_Zone1,north,17986431,46815,15637,proper road,50.6,0,0,0,0,0,0.348,0.665,0.329,0,5.0,96.68,0.167,0.6373,5696,11839,120
402,2017,Himachal Pradesh,Himachal Pradesh_Zone2,north,16268382,30656,15890,dirt road,33.38,0,0,0,0,0,0.108,0.702,0.384,1,5.0,73.87,0.25,0.8801,5200,9863,104
403,2017,Himachal Pradesh,Himachal Pradesh_Zone3,north,13325641,41897,17613,damaged road,35.79,0,0,1,0,0,0.351,0.628,0.26,0,5.0,106.54,0.333,2.2036,30836,82072,2572
404,2017,Himachal Pradesh,Himachal Pradesh_Zone4,north,14178293,49563,22067,proper road,89.09,0,0,0,0,0,0.05,0.707,0.345,1,5.0,78.54,0.417,0.6048,7436,18696,156
405,2017,Himachal Pradesh,Himachal Pradesh_Zone5,north,16383998,26031,13450,dirt road,47.26,0,0,0,0,0,0.233,0.628,0.306,0,5.0,99.97,0.5,0.9721,4645,9859,99
406,2017,Jharkhand,Jharkhand_Zone1,east,17405997,129878,12631,proper road,88.26,0,0,0,0,0,0.291,0.555,0.679,0,5.689,46.18,0.167,0.4468,13099,27260,211
407,2017,Jharkhand,Jharkhand_Zone2,east,18218889,67958,10227,proper road,41.23,0,0,0,0,0,0.156,0.588,0.719,1,5.0,33.7,0.25,0.4024,6339,9561,104
408,2017,Jharkhand,Jharkhand_Zone3,east,14753003,110190,16271,proper road,36.08,0,0,1,0,0,0.12,0.605,0.655,0,7.453,49.66,0.333,1.0392,21585,37385,375
409,2017,Jharkhand,Jharkhand_Zone4,east,8403377,99006,18060,proper road,44.86,0,0,0,0,0,0.676,0.485,0.671,1,12.261,39.47,0.417,0.4875,21124,34662,368
410,2017,Jharkhand,Jharkhand_Zone5,east,17988248,96036,12862,damaged road,71.74,1,0,0,0,0,0.17,0.531,0.825,0,5.0,25.21,0.5,2.157,26839,62212,2961
411,2017,Karnataka,Karnataka_Zone1,south,2533560,202650,8799,dirt road,32.52,0,0,0,0,0,0.117,0.643,0.661,0,74.314,48.82,0.167,0.7158,156597,244161,2682
412,2017,Karnataka,Karnataka_Zone2,south,1668469,232437,4908,proper road,35.42,0,0,0,1,0,0.301,0.7,0.599,1,75.016,48.14,0.25,0.4309,197590,306257,3475
413,2017,Karnataka,Karnataka_Zone3,south,2407023,170327,3314,proper road,43.54,0,0,0,0,1,0.572,0.683,0.757,0,52.438,34.98,0.333,0.7285,139448,224781,2219
414,2017,Karnataka,Karnataka_Zone4,south,3199192,172902,8725,damaged road,81.52,1,0,0,0,0,0.414,0.622,0.729,1,58.717,32.54,0.417,2.1787,235809,610844,27011
415,2017,Karnataka,Karnataka_Zone5,south,2168110,157567,6876,dirt road,80.96,1,0,0,0,0,0.688,0.713,0.646,0,37.798,51.03,0.5,1.5918,341593,826568,23711
416,2017,Kerala,Kerala_Zone1,south,14466122,107662,8429,proper road,82.17,1,0,0,0,0,0.477,0.645,0.383,0,8.193,88.82,0.167,1.5095,27996,77924,2234
417,2017,Kerala,Kerala_Zone2,south,7792008,77773,7362,proper road,70.51,1,0,1,0,1,0.413,0.652,0.532,1,12.358,56.14,0.25,2.4015,53730,149402,3936
418,2017,Kerala,Kerala_Zone3,south,12039688,61426,9821,dirt road,50.14,0,0,0,0,0,0.112,0.629,0.48,0,5.0,74.93,0.333,0.8497,13052,26234,248
419,2017,Kerala,Kerala_Zone4,south,6537516,79609,12417,dirt road,47.01,0,0,1,0,0,0.435,0.602,0.456,1,8.417,65.27,0.417,1.4799,43928,98623,862
420,2017,Kerala,Kerala_Zone5,south,14273162,71769,8800,damaged road,56.65,0,0,0,0,1,0.59,0.594,0.405,0,5.0,85.69,0.5,1.9197,23226,59958,1869
421,2017,Madhya Pradesh,Madhya Pradesh_Zone1,central,14480873,205112,4466,dirt road,73.49,1,0,0,0,0,0.331,0.748,0.53,0,10.184,67.74,0.167,1.6555,56345,141999,4159
422,2017,Madhya Pradesh,Madhya Pradesh_Zone2,central,20054751,228355,2517,damaged road,63.69,1,0,1,0,1,0.21,0.613,0.586,1,13.655,49.64,0.25,3.2831,148624,442555,18724
423,2017,Madhya Pradesh,Madhya Pradesh_Zone3,central,18852923,162162,2491,proper road,61.4,1,0,0,0,0,0.148,0.712,0.479,0,10.927,74.98,0.333,1.4083,30434,70892,2305
424,2017,Madhya Pradesh,Madhya Pradesh_Zone4,central,17919923,210120,2379,damaged road,68.52,1,0,0,0,0,0.05,0.702,0.557,1,7.931,53.15,0.417,2.2589,57137,153796,7510
425,2017,Madhya Pradesh,Madhya Pradesh_Zone5,central,10318965,209344,4680,damaged road,53.99,0,0,0,0,0,0.358,0.671,0.436,0,18.391,81.26,0.5,1.4594,71216,166142,5440
