Sl No.,year,State,zone,region,state_population_zone,registered_vehicles_zone,road_length_km,road_condition,avg_speed_index,overspeeding,bad_weather,fault_of_driver,driver_below_18,fault_in_vehicle,pct_two_wheelers,enforcement_index,health_index,urban_flag,traffic_density,time_to_hospital,monthality_index,danger_score,no_of_accidents,no_of_injured,no_of_killed
1261,2022,Andhra Pradesh,Andhra Pradesh_Zone1,south,8307291,291903,13856,dirt road,39.92,0,1,0,0,0,0.222,0.728,0.614,0,27.801,55.61,0.583,1.5061,151824,304409,8067
1262,2022,Andhra Pradesh,Andhra Pradesh_Zone2,south,11489308,306039,8545,dirt road,77.87,0,1,0,1,0,0.458,0.762,0.59,1,17.584,49.25,0.667,1.5061,117288,291572,6346
1263,2022,Andhra Pradesh,Andhra Pradesh_Zone3,south,12154153,309996,14291,proper road,53.35,0,0,0,0,0,0.165,0.555,0.552,0,24.878,64.5,0.75,0.536,57676,106631,1049
1264,2022,Andhra Pradesh,Andhra Pradesh_Zone4,south,13285908,223558,8288,damaged road,35.88,0,0,0,0,0,0.24,0.657,0.554,1,19.561,53.51,0.833,1.3835,72342,143827,5426
1265,2022,Andhra Pradesh,Andhra Pradesh_Zone5,south,13880122,175521,14625,proper road,53.83,0,0,1,0,0,0.475,0.637,0.628,0,13.3,53.6,0.917,1.0421,44716,86250,785
1266,2022,Arunachal Pradesh,Arunachal Pradesh_Zone1,north_east,2196674,113556,5280,proper road,42.87,0,0,1,0,0,0.314,0.433,0.529,0,64.117,67.89,0.583,1.2135,183372,365984,3458
1267,2022,Arunachal Pradesh,Arunachal Pradesh_Zone2,north_east,3713638,244699,8151,proper road,90.11,0,0,0,0,0,0.389,0.491,0.489,1,91.217,61.37,0.667,0.6127,152171,366064,2967
1268,2022,Arunachal Pradesh,Arunachal Pradesh_Zone3,north_east,2433711,120581,9086,proper road,54.2,0,1,0,0,0,0.077,0.45,0.511,0,53.338,70.4,0.75,1.417,197813,440735,11045
1269,2022,Arunachal Pradesh,Arunachal Pradesh_Zone4,north_east,1984577,141920,9692,proper road,86.34,1,0,0,0,0,0.414,0.432,0.515,1,97.21,58.23,0.833,1.5237,298261,798883,22712
1270,2022,Arunachal Pradesh,Arunachal Pradesh_Zone5,north_east,3421249,209163,8028,dirt road,53.1,0,0,0,0,1,0.051,0.442,0.474,0,82.632,75.77,0.917,1.3474,238068,530949,4541
1271,2022,Assam,Assam_Zone1,north_east,12579014,49129,8692,dirt road,43.87,0,0,0,1,0,0.099,0.862,0.523,0,5.78,68.75,0.583,0.7034,11387,20671,222
1272,2022,Assam,Assam_Zone2,north_east,17162558,78027,4594,damaged road,70.67,1,0,0,0,0,0.413,0.922,0.626,1,5.0,44.84,0.667,2.1004,28809,72739,3546
1273,2022,Assam,Assam_Zone3,north_east,18966448,83494,10855,damaged road,93.74,0,0,0,0,0,0.139,0.882,0.632,0,5.0,53.05,0.75,1.2166,18300,46053,1259
1274,2022,Assam,Assam_Zone4,north_east,24221566,45746,10590,damaged road,50.51,0,0,0,0,0,0.191,0.862,0.619,1,5.0,45.71,0.833,1.2357,8333,16702,588
1275,2022,Assam,Assam_Zone5,north_east,24181292,96103,9578,dirt road,36.85,0,0,1,0,0,0.553,0.876,0.552,0,5.0,64.53,0.917,1.2755,17219,33807,324
1276,2022,Bihar,Bihar_Zone1,east,8093285,173920,2521,proper road,30.65,0,0,0,0,0,0.258,0.728,0.585,0,15.319,59.81,0.583,0.4267,43669,64548,811
1277,2022,Bihar,Bihar_Zone2,east,10895442,121795,5973,proper road,60.31,0,0,0,0,0,0.361,0.704,0.529,1,8.201,56.5,0.667,0.4776,24692,47611,462
1278,2022,Bihar,Bihar_Zone3,east,8746421,195845,5328,proper road,54.63,0,1,0,0,0,0.365,0.708,0.603,0,28.54,57.2,0.75,1.224,86058,178820,4562
1279,2022,Bihar,Bihar_Zone4,east,13491747,176498,3837,damaged road,33.05,0,0,0,0,0,0.055,0.674,0.628,1,13.667,44.67,0.833,1.3235,53150,96850,3687
1280,2022,Bihar,Bihar_Zone5,east,12685430,128026,4319,dirt road,89.13,1,0,0,0,0,0.229,0.745,0.558,0,10.569,63.61,0.917,1.6369,49115,131180,3505
1281,2022,Chhattisgarh,Chhattisgarh_Zone1,central,11939327,109943,9813,proper road,65.88,1,0,1,0,0,0.433,0.923,0.605,0,11.519,56.91,0.583,1.8151,49483,119272,3434
1282,2022,Chhattisgarh,Chhattisgarh_Zone2,central,10705949,252321,15852,proper road,53.72,0,0,0,0,0,0.186,0.945,0.604,1,35.29,47.55,0.667,0.3047,41323,71761,702
1283,2022,Chhattisgarh,Chhattisgarh_Zone3,central,24237647,229226,11752,proper road,63.83,0,0,0,0,0,0.361,0.935,0.64,0,14.153,51.91,0.75,0.2849,17047,31081,304
1284,2022,Chhattisgarh,Chhattisgarh_Zone4,central,18001031,229101,11380,dirt road,37.9,0,0,0,0,0,0.391,0.894,0.7,1,13.978,35.98,0.833,0.5626,30467,46005,501
1285,2022,Chhattisgarh,Chhattisgarh_Zone5,central,13546041,107138,9006,proper road,32.05,0,0,0,0,0,0.25,0.938,0.567,0,6.295,62.32,0.917,0.3341,15270,23055,266
1286,2022,Goa,Goa_Zone1,west,8171049,258581,4771,proper road,50.04,0,0,1,0,0,0.074,0.531,0.762,0,30.535,34.33,0.583,1.0016,104480,184006,1671
1287,2022,Goa,Goa_Zone2,west,8209990,126276,6585,proper road,31.9,0,0,1,0,1,0.292,0.427,0.806,1,15.602,23.33,0.667,1.4227,66491,112552,1021
1288,2022,Goa,Goa_Zone3,west,7872155,213841,9125,proper road,94.38,1,1,1,0,0,0.111,0.552,0.829,0,26.303,24.57,0.75,2.6435,489940,1309692,45320
1289,2022,Goa,Goa_Zone4,west,8919686,299470,4150,proper road,66.89,0,0,0,0,0,0.244,0.488,0.858,1,45.759,17.0,0.833,0.3552,62371,102020,954
1290,2022,Goa,Goa_Zone5,west,8599044,128938,3463,proper road,35.68,0,0,1,0,0,0.064,0.522,0.859,0,12.292,20.29,0.917,0.9378,48361,72249,732
1291,2022,Gujarat,Gujarat_Zone1,west,19906135,27814,9395,dirt road,58.54,0,0,1,0,0,0.408,0.678,0.382,0,5.0,89.06,0.583,1.4937,7132,17712,143
1292,2022,Gujarat,Gujarat_Zone2,west,20666115,12729,23756,proper road,48.26,0,0,0,0,0,0.29,0.634,0.4,1,5.0,72.05,0.667,0.6032,1809,3522,37
1293,2022,Gujarat,Gujarat_Zone3,west,21758309,25312,8468,damaged road,65.77,0,1,0,0,0,0.264,0.766,0.408,0,5.0,85.3,0.75,2.2317,8288,23876,1010
1294,2022,Gujarat,Gujarat_Zone4,west,34424916,13245,15726,proper road,70.98,1,1,0,0,0,0.459,0.7,0.275,1,5.0,86.94,0.833,2.3574,7863,24849,1001
1295,2022,Gujarat,Gujarat_Zone5,west,23218934,23336,18694,proper road,89.84,0,1,1,0,0,0.305,0.57,0.293,0,5.0,101.82,0.917,2.11,6983,22547,437
1296,2022,Haryana,Haryana_Zone1,north,14146090,177632,23674,dirt road,54.36,0,0,0,0,0,0.445,0.886,0.705,0,13.39,42.43,0.583,0.5632,30605,53564,509
1297,2022,Haryana,Haryana_Zone2,north,15402517,192928,17881,damaged road,47.67,0,0,0,0,1,0.219,0.718,0.656,1,12.779,41.29,0.667,1.6821,62750,134088,4333
1298,2022,Haryana,Haryana_Zone3,north,20119797,90484,20809,dirt road,94.08,0,0,0,0,0,0.233,0.916,0.582,0,5.51,60.19,0.75,0.6345,12448,29176,232
1299,2022,Haryana,Haryana_Zone4,north,10464815,105299,12634,damaged road,34.94,0,0,1,0,0,0.183,0.772,0.608,1,7.889,46.99,0.833,1.8883,106492,222754,7671
1300,2022,Haryana,Haryana_Zone5,north,15654761,146357,16744,proper road,74.6,0,1,0,0,0,0.081,0.889,0.664,0,6.53,48.31,0.917,1.0903,34323,73392,1804
1301,2022,Himachal Pradesh,Himachal Pradesh_Zone1,north,15045456,48995,21738,proper road,51.16,0,0,0,0,1,0.294,0.785,0.524,0,5.0,68.5,0.583,0.8404,10454,20478,200
1302,2022,Himachal Pradesh,Himachal Pradesh_Zone2,north,14097413,48002,21346,dirt road,69.7,0,0,1,0,0,0.077,0.7,0.301,1,5.0,83.91,0.667,1.5397,16945,46362,372
1303,2022,Himachal Pradesh,Himachal Pradesh_Zone3,north,12743342,31901,27835,proper road,82.17,1,1,0,0,0,0.267,0.677,0.332,0,5.0,96.18,0.75,2.3289,46025,147553,5784
1304,2022,Himachal Pradesh,Himachal Pradesh_Zone4,north,15874779,47277,11430,proper road,54.42,0,1,1,0,1,0.131,0.713,0.353,1,5.0,77.6,0.833,2.3961,21212,60070,1269
1305,2022,Himachal Pradesh,Himachal Pradesh_Zone5,north,18691033,45155,18594,dirt road,76.58,1,0,0,0,0,0.068,0.644,0.455,0,5.0,78.47,0.917,1.7597,13649,37149,1036
